accommodation_id,review_text,review_score,hotel_review_count
-269719989,"Love the location, always stay here when visiting Chester. Lovely hotel, leisure facilities, great breakfast, excellent evening meal and fantastic staff. No complaints!",10.0,75
-269719989,"Decent breakfast cooked to order.  Dinner was OK but on the pricey side. Parking was not connected to but in sight of the hotel.  As I was on a motorcycle, it did not feel secure.",7.0,75
-269719989,"Location cleanliness value for money good staff good food and service There was no drawers ,no hooks to hang your coats, not enough coat hangers,no mirror or plugs  near mirrors to dry your hair",7.0,75
-269719989,Breakfast was amazing…..  Good choice and all appeared fresh….  Just no orange juice….  Good location for Chester  Lovely friendly staff. The shower was a bit hit and miss….  Water very very hot…..  took some time to work out.   Bedding very clean… nice fresh towels.     Shame we had to pay extra for parking….. would have been nice to be included in price.,8.0,75
-269719989,"Good location.excellent spa facilities, excellent breakfast,great bar drinks and staff N.a",10.0,75
-269719989,Friendly staff grate location and good bar. No information about breckfast had to find it on website.,9.0,75
-269719989,"excellent value for money,  staff were really good and helpful, food in the restaurant was to a high standard, the spa area was really good as well kids loved the pool. the breakfast could do with some things being grilled, everything was fried, and the room could have been hoovered better, pool would have been better a bit warmer for the little ones, but that’s being very fussy.",9.0,75
-269719989,Central location.  Good food.  Some staff members were very friendly. We had to pay £18 to park in the car park. We’ve never paid before or at any other hotels! Also the rooms were extremely hot. The hotel should consider installing air con.,8.0,75
-269719989,Great location near town centre. Good secure car parking (fee to pay). Big well appointed room. Lovely hot breakfast. Swimming pool and spa! Car parking fee if don't book direct with hotel but worth paying for secure parking and near town centre. We went on a Monday but can see if want a Saturday/weekend have to book 2 nights which is fair enough,9.0,75
-269719989,Excellent breakfast although coffee could be better.   Cheery staff making a good start to the day   Position of hotel by the canal made a pleasant walk into the city . Having asked about disabled parking I was surprised we were put in a room which couldn’t have benn further from reception!,7.0,75
-269719989,"The hotel was lovely just a little bit dated. However it was nice and clean, rooms are big, shower was fab and staff were very helpful and friendly.   Breakfast was spot on. Spa was lovely too. Had to ring reception in the middle of the night as we were woke but the room above. Sounded like a child was running around and jumping.   This was sorted immediately by staff and we had a restful nights sleep.",9.0,75
-269719989,Brilliant stay staff very friendly and welcoming bedroom very clean and comfortable food was lovely and a very relaxing atmosphere and location was great just a few minutes walk from city centre Nothing at all,10.0,75
-269719989,"Such a nice place and in a great area. Staff were brilliant and the room was perfectly clean, very comfy bed. leaving",10.0,75
-269719989,A good location close to the city centre and by the canal There was nothing really to complain about,8.0,75
-269719989,"We have stayed at the Mill many times and will continue to do so.  The hotel is in the centre of Chester by the canal and has its own private car park where you can park your car safely for the duration of your stay.  We had a standard room which was a bit on the small side to be honest but was perfectly comfortable, lovely comfy bed, excellent facilities, private bathroom with bath and shower.  It is only a short walk to the Centre of Chester of about 10 minutes and the City Walls walk is slightly less.    There is free use of the leisure facilities for hotel guests including a good size swimming pool, jacuzzi, steam room and sauna.   Breakfast is served buffet style and is excellent, the meal we had in the restaurant was also excellent. The lighting in the room is disappointing in that the only lighting in the room is spot lights above the bed which run along the length of the room and there are no bedside lamps.  If you need to get up in the night both sides of the bed are flooded with light and there is no provision for one person to read while the other sleeps as their is no individual lighting.  Bedside lamps would alleviate this.",9.0,75
-269719989,"It was conveniently located, clean and comfortable We didn’t have any hot water for the last day",8.0,75
-269719989,"room was very clean and spacious, staff very helpful and pleasant. good choice for breakfast and plenty of it. good location only a 5 min walk into centre our room overlooked the main road so there was a little bit of noise as cars passed",8.0,75
